en|Frederick Vodrey (1845 - 1897) was an English businessman from Wolstanton, Staffordshire who emigrated to
en|Choritrohin (English: Characterless) is a 1917 novel by Bengali novelist Sarat Chandra Chattopadhyay. It tells
en|KHBL-LP (96.9 FM) is a Low Power radio station licensed to serve Hannibal, Missouri. The
en|État 40-001 to 40-143 was an class of 0-8-0 Tank locomotives of the Chemins de
en|Melanopelta is an extinct genus of prehistoric amphibian....
en|Kanneshwara Rama (Kannada: ಕನ್ನೇಶ್ವರ ರಾಮ; English: The Legendary Outlaw) is a 1977 Kannada political drama
en|Stranger on Horseback is a 1955 American Anscocolor Western film directed by Jacques Tourneur and
en|The women's 3000 metres event at the 1995 IAAF World Indoor Championships was held on
en|Joanna Wajs (born May 20, 1979 in Warsaw) is a Polish writer, literary critic and
en|HMS Surprise was a Bay-class anti-aircraft frigate of the British Royal Navy. In commission from
en|Mungalli is a locality in the Tablelands Region, Queensland, Australia....
en|Christmas Child is a 2004 American Christian film directed by William Ewing starring Steven Curtis
en|Halstead is a city in Harvey County, Kansas, United States. Halstead was named in honor
en|Sea Racketeers is a 1937 American film directed by Hamilton MacFadden and starring Weldon Heyburn,
en|José Moreno (born 1952) was a Spanish international tennis player in the 1970s.In 1973 at
en|Josephine Myrtle Corbin (May 12, 1868 – May 6, 1928) was an American sideshow performer
en|Karang Bolong (pronounced Ka•Rang-Boh•Lohng) is located on the coast of Anyer, West Java, Indonesia.The name
en|The men's sabre was one of ten fencing events on the fencing at the 2000
en|Viktoriya Kolotinskaya (born 10 March 1995) is a Kazakhstani handball player. She plays for the
en|The Reverend Dr. Guy Potter Wharton Benton (May 26, 1865 – June 29, 1927) was
en|Lucky Dragon may refer to: Lucky Dragon No. 5 (film), a 1959 Japanese film directed
en|The France women's ice hockey league (French: Championnat de France de hockey sur glace féminin)
en|Risellopsis is a genus of sea snails, marine gastropod mollusks in the family Littorinidae, the
en|Telsen Electric Company was a British electronics company formed in Birmingham in 1924 by Mr.
en|Graphical user interface elements are those elements used by graphical user interfaces (GUIs) to offer
en|Chester D. Seftenberg (September 2, 1904 – June 7, 1970) was an American politician and
en|The Diamond Head Game is an American game show that aired from January 6 to
en|Cellophane is a thin transparent sheet made from regenerated cellulose. Cellophane may also refer to:
en|A green home is a type of house designed to be environmentally sustainable. Green homes
en|Mato Alto is a region of Rio de Janeiro, but not officially recognized as a
en|My Friend the Monkey is a 1939 Fleischer Studios animated short film starring Betty Boop....
en|The Carpathian Trophy (Romanian: 'Trofeul Carpaţi') is an annual men's and women's friendly handball tournament
en|Petrijevci is a municipality in Slavonia, in the Osijek-Baranja County of northeastern Croatia. There are
en|Bharati Vidyapeeth Institute of Technology (BVIT) is a polytechnic college in Navi Mumbai. It is
en|The Yula (Russian: Юла) is a river in Vinogradovsky and Pinezhsky Districts of Arkhangelsk Oblast
en|Public bus Services were introduced in Abu Dhabi by the Emirate in 2008 with four
en|The 2019 Missouri Valley Conference Baseball Tournament will be held from May 22–25. All eight
